file_name,ground_truth,prediction
6437-66173-0039,did you see mister grimshaw looking out of the recitation room window just as we left the yard no was he though i am sure of it,did you see mister grimshaw looking out of the recitation room window just as we left the yard no was he though i am sure of it
3240-131232-0030,but none were found on roofs or any other elevation above ground and none were seen to fall if you prefer to believe that the snakes had always been there or had been upon the ground in the first place and that it was only that something occurred to call special attention to them,but none were found on roofs or any other elevation above but above ground and none were seen to fall if you but you you prefer to believe that the snakes had always been there or had been upon the ground in the first place and that an that and that it was only that something occurred to call special attention to them
6000-55211-0009,but when the shabby house on the narrow little street was reached the man looked about him with a troubled frown i declare billy i'm not sure but we'd better turn back he fretted i didn't mean to take you to such a place as this billy shivered a little,but when the shabby house on the narrow little street was reached the man looked about him with a troubled frown i declare billy i'm not sure but we'd better turn back he fretted i didn't mean to take you to such a place as this billy shivered a little
289-121665-0028,nothing was left to each sheep but a wee little stump where a tail should be and little bo peep was so heart broken that she sat down beside them and sobbed bitterly,nothing was left to each sheep but a wee little stump where a tail should be and little bo peep was so heart broken that she sat down beside them and sobbed bitterly
1502-122619-0062,and apparently as unconcerned as if he had no interest in the result,and apparently as unconcerned as if he had no interest in the result
8095-274345-0032,it was necessary to fix a choice either to abandon entirely the privileges of the people or to secure them by firmer and more precise barriers than the constitution had hitherto provided for them in this dilemma,it was necessary to fix a choice either to abandon entirely the privileges of the people or to secure them by firmer and more precise barriers than the constitution had hitherto provided for them in this dilemma
5393-19218-0036,gayety roars sarcasm flames forth joviality is flaunted like a red flag two jades there drag farce blossomed forth into an apotheosis it is the triumphal car of laughter a laughter that is too cynical to be frank,gaiety roars sarcasm flames forth jovihe is flaunted like a red flag two jades there drag farce bloss there drag farce blossomed forth in an apotheosis it is the triumphal car of the triumphal car of laughter a laughter that is too cynical to be frank
1867-154075-0037,heavens man i can't persuade her to go with a stranger at night surely you see that i'll do that persuading said ronicky doone calmly and when you're on the streets with the girl,heavens man i can't persuade her to go with a stranger at night surely you see that i'll do the persuading said ronicky doone calmly and when you're on the streets with the girl
311-124404-0100,muscles nerves arteries veins and other parts that are found in the body of each animal such persons will look upon this body as a machine made by the hands of god which is incomparably better arranged,muscles nerves arteries veins and other parts that are found in the body of each animal such persons will look upon this body as a machine made by the hands of god which is incomparably better arranged
5393-19218-0044,caught sight of the wedding carriage containing the bridal party opposite them on the other side of the boulevard hullo said a masker here's a wedding a sham wedding retorted another we are the genuine article and being too far off to accost the wedding party,caught sight of the wedding carriage containing the bridle caught bridle caught bridle party opposite them on the other side of the boulevard hullo said a masker here's a wedding a sham wedding retorted another we are the genuine article and being too far off to accost the wedding party
831-130739-0048,all drapers have to be or else they could never have the faith they show in the beauty washability and unfading excellence of the goods they sell you the decision comes at last,all drapers have to be or else they could never have the faith they show in the biau ye washability and unfading excellence of the goods they sell you the decision comes at last
6437-66172-0042,like his own syrups but because the widow loved him bill conway we hated for himself late one dark saturday night in september we carried our plan into effect,like his ownlike his own syrups but because the widow loved him bill conway we hated for him like like a we hated for himself late one dark saturday night in september we carried our plan into effect
289-121665-0015,then you are wiser that most people and if you know all about them you also know they will come home of their own accord and i have no doubt they will all be wagging their tails behind them as usual,then you are wiser than most people and if people and if people and if you know all about them and you also know they will come till know they will come home of their own accord and i have no doubt htthey will all be wagging their tails behind them as usual
8098-278252-0030,and felt boots encased in heavy overshoes these rural men eyed me with suspicion until i mentioned mac a'rony then there was a rush to the door as it swung open in leaped my great dog,and felt boots encased in heavy overshoes these rural men eyed me with suspicion until i mentioned macarone then there was a rush to the door as it swung open inleaped my great dog
8238-274553-0062,the nicety of your discernment in all the matters here treated will be sufficient i am assured,the nicety of your your discernment in all the matters here treated will be sufficient i am assured
4830-25904-0007,when fed they gobbled up the fish never stopping to swallow it till the pouches under their bills were full then they leisurely emptied them and seemed to enjoy their lunch with the grave deliberation of regular englishmen,when fed they gobbled up the fish never stopping to swallow it until the pouches under their bills were full then they leisurely emptied them and seemed to enjoy their lunch with the grave deliberation of regular englishmen
2518-154826-0018,and now that i was under the lee of the wall,and now that i was under the lee of the wall
2436-2477-0009,don't be silly venza i enjoyed her i gazed at her small slim figure reclining in the deck chair her long gray robe parted by design i have no doubt to display her shapely satin sheathed legs,don't be silly venza i enjoyed her i g eu u gazed at her small slim figure reclining in the deck chair her long gray robe parted by design i have no doubt to display her shapely satin sheathed legs
5456-62043-0017,the game went on and the paddles kept moving at eleven o'clock it was reported to the captain that we were nearing the woodyard the light being distinctly seen by the pilot on duty head her in shore then and take in six cords if it's good see to it thompson,the game went on and the paddles kept the paddles kept the paddles kept moving at eleven o'clock it was reported to the capan cap captain that we were nearing the woodyard the light being distinctly seen by the pilot on duty pilot on duty head her in shore then and take in six cords if it's good see to it thompson
5561-41615-0048,you may apologize to me now and to morrow to the girls you have accused of treachery,you may apologize to me now and to morrow to the girls you have accused of treachery
2289-152254-0020,as he went along before sailing with his army for carthage he wished very much to see with his own eyes what sort of people the vandals were and whether they were so powerful at home as was generally believed,as he went along before sailing with his army for carthage he wished very much to see with his own eyes what sort of people the vandals were and whether they were so powerful at home as was generally believed
2836-5354-0049,and she shook and shivered perpetually though she had drawn so close to the wood fire that there was a danger of her petticoats igniting and the attendant had frequently to spring up and interpose between them and the crackling logs,and she shook and shivered perpetually though she had drawn so close to the wood fire the wood fire the wood fire that there was a danger of her petticoats igniting and the attendant had frequently to spring up and interpose between them and interpose between them and the crackling logs
103-1241-0034,but i'd rather believe that it was out of the kindness of his heart wouldn't you when we got on the train i felt as if everybody must be looking at me and pitying me but i just went to work and imagined that i had on the most beautiful pale blue silk dress because when you are imagining you might as well imagine something worth while,but i'd rather believe that it was out of the kindness of his heart wouldn't you when we got on the train i felt as if everybody must be looking at me and pitying me but i just went to work and imagine that i had on the most beautiful pale blue silk dress because when you are imagining you might as well imagine something worth while
3240-131231-0030,of the british museum bristling with exclusionism writes that some of these fishes which had been sent to him alive were very young minnows he says on reading the evidence it seems to me most probably only a practical joke,of the british museum bristling wtof exclusionism writes that some of these fishes which had been sent to him alive were very youn of of young young minnos he says on reading the evidence it seem of seem the seems to me most probably only a practical joke
8238-274553-0025,and dwelt upon the benefits and more especially upon the beauties of the received code of etiquette in passages of arms with an ardor an eloquence,and dwelt  upon the benefits and more especially upon the beauties of the received code of etiquette in passages in passages in passages of arms with an ardour an eloquence
6000-55211-0049,i can't help it stormed the girl hotly i know how much you think of that teapot that was grandmother's i know what it cost you to make up your mind to sell it at all and then to hear these people talk about your wishing to sell it,i can't help it stormed the girl hotly i know how much you think of that teapot that was grandmother's i know what it cost you to make up your mind to sell it at all and then to hear these people talk about your wishing to sell it
4137-11701-0017,ah what a miracle worker true love is i think one of the things which made belvane so remarkable was that she was never afraid of remaining silent when she was not quite sure what to say,ah what a mire miracle worker true love is i think one of the things which made belvane so remarkable was that she was never afraid of remaining silent when she was not quite sure what to say
6437-66172-0016,surrounded by twelve masked figures fantastically dressed one of the conspirators was really appalling with a tin sauce pan on his head and a tiger skin sleigh robe thrown over his shoulders i scarcely need say,surrounded by twelve masked masked figures fantastically dressed one of the conspirators was really appalling with a tin saucepan on his head and a tiger tiger skin sleigh robe thrown over his shoulders i scarcely need say
831-130746-0010,if so he was in for an explanation but he had it ready she was a monomaniac leave me alone with her he would say i know how to calm her missus beaumont said stephen well has gone,if so he was in for an exexplanation but he had it ready she was a monomaniac leave me alone with her he would say i know how to calm her missus beaumont said stephen well has gone
311-124404-0099,to those who are acquainted with the variety of movements performed by the different automata or moving machines fabricated by human industry and that with help of but few pieces compared with the great multitude of bones,to those who are acquainted with the variety of movements performed by e movements performed by the movements performed by the different automata or moving machines fabricated by human industry and that with help of but few pieces compared few pieces compared with the great multitude of bones
1867-148436-0042,and his lips twistin back the same smile he had when he got into the saddle but pretty soon i s'pose jo had a chance to figure out that it didn't do him no particular harm to be alone the minute he seen that he stopped fightin,and his lips twisted back the same smile he had an had an had when he got into the saddle but pretty soon i s'pose jo an soon i s'pose jo had a chance to figure out that it didn't do him no particular harm to be alone the minute he seen that he stopped fightin
3699-19402-0022,but not vapouringly and with the sweetest accent of most respectful encouragement bid his honour never fear now my uncle toby did fear and grievously too,but not vapor apapaporingly and with the sweetest accent of most respectful respectful encouragement bid his honour never fear now my uncle toby did fear and grievously too
2007-149877-0043,the company the glow the atmosphere which they found one might take it after all as an augur of the better social order for the things which they satisfied here though sensory were not evil,the the company the glow the atmosphere which they found one might take it after all as an augur of the better social order for the things which they satisfied here though censory were not evil
5456-58161-0021,in they swept all riches and grace silks and satins jewels and lace in they swept from the dazzled sun and soon in the church the deed was done three prelates stood on the chancel high,in they swept all riches and grace silks and satin satins jewels and lace in they swept from from from the dazzled sun and soon in the church the deed was done three prelates stood on the chancel high
87-121553-0056,here doth my memory overcome my genius for on that cross as levin gleamed forth christ so that i cannot find ensample worthy but he who takes his cross and follows christ again will pardon me what i omit seeing in that aurora lighten christ,here doth my memory overcome my genius eus for on that cross as leavin gleamed forth christ so that i cannot find in sample so that i cannot find in sample worthy but he who takes his cross and follows christ again will pardon me what i omit seeing in that aurora lightened christ
5390-30102-0029,do you know where the thompsons live inquired uncle john no whoa dan that was the best thing the nag did he knew how to whoa thomas called uncle john turning in his seat,do you know where the thompsons live inquireuncle john no wo dan that that was the best thing the nag did he knew how to wak wo thomas called uncle john turning in his seat
198-129977-0031,what do you mean shall i tell you certainly well then i guess that mister willoughby hunts marianne was surprised and confused yet she could not help smiling at the quiet archness of his manner and after a moment's silence said,what d wha  do you mean shall i tell you certainly well then i guesse that what west that mister willoughby huns marianne was surprised and confused yet she could not help smiling at the quiet archness of h of hi of his manner and after a moment's silence said
1088-134315-0057,an examination of the first drawer did not produce all that she had expected she returned the papers to the drawer pushed it to and locked it she gave her attention to the second drawer her hand shook a little as she pulled it open,an examination of the first drawer did not produce all that she had expected she returned the papers to the drawer pushed it to and locked it she gave her attention to the second drawer her hand shook a little as she pulled it open
2436-2476-0037,both martians and venus people are by heritage extraordinary linguists,both martians and venus people are by heritage extraordinary linguists
7517-100429-0023,all this for those delightful summer days when there are fine intervals but consider the advantages of the pond when the rain streams down in torrents,all this for those delightful summer days when there are fine intervals but consider the advantages of the pond when the rain streams down in torrents
625-132112-0047,the returns of the farmer are too small to allow much for wages and yet he will not sell off small farms there is the negro sanford he has worked fourteen years as overseer on the ladson place and,the rerrrturns of the farmer are too small to allow much for wages and yet he will will will not sell off small farms there is the negro sandford he has worked he has worked fourteen years as overseer on the ladson place and
103-1241-0001,or a hollow where wild plums hung out their filmy bloom the air was sweet with the breath of many apple orchards and the meadows sloped away in the distance to horizon mists of pearl and purple while the little birds sang as if it were the one day of summer in all the year,or a hollow where wild plums hung out their filmy bloom the ara orooras sweet with the breath of many apple orchards and the meadows sloped away in the distance to horizon mists of pearl and purple while the little birds sang as if it were the one day of summer in all the year
4018-103416-0015,about the new war contracts oh business,about the new war contracts oh business
8095-274348-0003,was dismissed with a reproof which savored more of kindness than of anger information of this correspondence was soon carried to richelieu the vigilance of that minister was here further roused by jealousy,was dismissed with a reproof which savored more of kindness than of than of anger information of this correspondence was soon carried to richene the vigilance of that minister was here further roused by jealousy
2989-138035-0044,it grew dark but before they reached the town it seemed to them all as if there was a heaven full of countless glittering stars in front of it they heard too the pleasant mingled notes of a variety of instruments flutes drums,it grew dark but before they reached the town it seemed to them all as if they was a heaven full of countless glittering stars in front of it they heard too the pleasant mingled notes of a variety of instruments flutes drums
4853-27671-0026,and hauling the sheet aft put the oar over the stern and brought the little craft's head to an easterly course the draught of air was extremely weak and scarce furnished impulse enough to the sail to raise a bubble alongside,and hauling the sheet aft put the oar over the stern and brought the little craft's head to an easterly course the draught of air was extremely weak and scarce furnished impulse enough to the sail to raise a bubble alongside
2092-145706-0039,no matter how difficult he must succeed in it or die they did not think long but replied let him build your majesty in one day a more beautiful palace than this and if he fails in the attempt,no matter how difficult he nuclt he must succeed in it or die they did not think long but replied let him build your majesty in one day a more beautiful palace than this and if he fails in the attempt
8095-274346-0012,rendered him more dependent and more exposed to the encroachments of the commons he was resolved to try once more that regular and constitutional expedient for supply perhaps too a little political art which at that time he practised,rendered him more dependent and more exposed to the encroachments of the commons he was resolved to try once more that regular and constitutional expedient for supply perhaps too a little political art which at that time he practised
8468-295198-0015,and sometimes will take the most unreasonable courses if a meddlesome magpie gets her claw into their nest but old mother magpie had now got a new business in hand in another quarter she bustled off down to water dock lane where as we said in a former narrative,and sometimes will take the most unreasonable courses if a meddlesome magpie gets her claw into their nest but old but old mother magpie had now got a new business in hand in another quarter and in another quarter she bustled off down to water dock lane where as we said in a former narrative
4137-11702-0028,he told her of his secret journey to the king of barodia's tent he told her of the king of barodia's letter,he told her of his secret journey secret journey to the king of barodia's tents he told her of the king of barodia's letter
4830-25904-0033,since i had a tame green one who lived under the door step and would come out and play with me on sunny days these snakes i found very interesting only they got under their blankets and wouldn't come out and i wasn't allowed to poke them,since i had a tame green one who lived under the doorstep and would come out and play with me on sunny days these snakes i found very interesting only they got under their blankets and wouldn't come out and i wasn't allowed to poke them
4018-107312-0001,the dimensions of castle street were not unworthy of the metropolis it traversed a great portion of the town and was proportionately wide its broad pavements and its blazing gas lights indicated its modern order and prosperity,the dimensions of castle street were tions of castle street were not unworthy of the metropolis it traversed a great portion of the town and was proportionately wide was proportionately wide its broad pavements and its blazing gas lights indicated gas lights indicated gas lights indicated its modern order and prosperity
1926-143879-0018,on the whole as i have said she had fallen from high communion with the probabilities,on the whole as i have said she had fallen from high communion with the probabilities
2007-132570-0054,for though your repentance would put an immediate end to opposition it would not now appease my indignation i will have vengeance as well as justice another groan filled the pause which montoni made,for though your repentance would put an immediate end to or opposition it would not now appease my my indignation i will have vengeance as well as justice was justice another groan filled the pause which montoni made
4830-25898-0008,sitting side by side the plump sisters were placidly swaying up and down over the clear brown water rippling below when ah sad to relate the stem broke and down went leaf,sitting side by side the plump sisters were placidly swaying placidly swaying up and down over the clear brown waterwawater rippling below when ah sad to to to to relate the stem broke and down went leaf
4788-94904-0001,that form of government will be generally speaking less suitable to them though this is not true universally for the adaptation of a people to representative government does not depend so much upon the place they occupy in the general scale of humanity,that form of government will be generally speaking less suitable to them though suitable to them though this is not true universally for the adaptation of a people to representative government does not depend so much upon the place they occupy in the general scale of humanity
2989-138035-0011,so that the loves of the two children basilio and quiteria,so that the loves of the two children basilio and quiteria
3240-131232-0026,that during a heavy shower july third eighteen sixty he heard a peculiar sound at his feet and looking down saw a snake lying as if stunned by a fall it then came to life gray snake about a foot long,that during a heavy shower july third eighteen sixty he heard a peculiar sound at his feet and looking down saw a snake lying as if stunned by a fall it then came to life grey snake about a foot long
3240-131231-0026,having published a report of a fall of fishes writes i am continually receiving similar accounts of frogs and fishes but in all the volumes of the zoologist i can find only two reports of such falls there is nothing to conclude,having published a report of a fall of fishes writes i am continually receiving similar accounts in similar accounts of frogs and fishes but in all the volumes of the phizoologist i can find only two reports of such falls there is nothing to conclude
1963-142393-0003,i'll wait patiently that was adam's wise resolution and it throve excellently for the first two or three weeks on the nourishment it got,i'll wait patiently that was adam's wise resolution t resolution tresolution and it throte throve excellently for the first two or three weeks on the nourishment it got
2007-149877-0052,said hurstwood indicating the direction by a cast of his eye the man with the silk hat oh yes said drouet now affecting not to see who is he that's jules wallace the spiritualist,said hurstwood indicating the direct direction by a cast of his eye the man with the silk hat oh yes sdrouet now affecting not to see who see who is he that's jueles wallace the spiritualist
103-1240-0008,the orchard on the slope below the house was in a bridal flush of pinky white bloom hummed over by a myriad of bees thomas lynde a meek little man whom avonlea people called rachel lynde's husband was sowing his late turnip seed on the hill field beyond the barn,the orchard on the slope below the house was in a bridal flush of pinky white bloom hummed over by a myriad of bees thomas lynde a meek little man whom whom avonlea people called rachel lynde's husband was sewing his late turnip seed on the hill field beyond the barn
412-126975-0014,the winter afternoon was reddening towards evening and already a ruby light was rolled over the bloomless beds filling them as it were with the ghosts of the dead roses,the winter afternoon was reddening towards evening inging and already a ruby light was rolled over the bloomless beds filling them as it were with the ghosts of the dead roses
2436-2476-0001,at ferrok shahn i'm going to bring back a cordon of interplanetary police the secret will be out of course when we stop at the moon we have no right even now to be flying this vessel as unguarded as it is he was very solemn,at ferrakshahn i'm going to bringg back a cordon of interplanetary police the secret will be out of course when stop at the moon we have no right even now to be flying this vessel as unguarded as it is he was very solemn
7067-76048-0050,he discovered his daughter displaying what he considered an improper familiarity with socialist ideas,he discovered he he discovered his daughter displaying what he considered and improper familiarity with socialist ideas
311-124404-0094,i had expounded all these matters with sufficient minuteness in the treatise which i formerly thought of publishing and after these i had shown what must be the fabric of the nerves and muscles of the human body,i had expnded all these matters with sufficient minuteness in the treatis which i formerly thought of publishing and andand after these i had shown what must be the fabric of the nerves and muscle of the human body
1963-147036-0024,i want you to carry out your promise mister tarling said milburgh smoothly tarling stared at him my promise he said what promise to protect not only the evil doer,i want you to carry out your promise mister tarling said milburgh smoothly tarling stared at him my promise he said what promise to protect not only the evil doer
5390-30102-0010,were nearly forgotten in the community and soon would be forgotten altogether unless the quick ear of a young girl had caught the clue so long ignored at first she scarcely appreciated the importance of the undertaking,were nearly forgotten in the community and soon would be forgotten altogether unless the quick ear wereh the quickear the quick ear of a young girl had caught the clue so long ignored at first were were first first she scarcely appreciated the importance of the undertaking
1867-154071-0013,snatched his hat and plunged through the door and ronicky heard the brief thunder of his feet down the first flight of stairs then the heavy thumps as he raced around the landing,snatched his hat and plunged through the door and ronicky heard the brief thunder of his strof his strof his feet down the first flight of stairs then the heavy thumps as he raced around the landing
4830-25898-0000,there never was a prouder mamma than madam cluck when she led forth her family of eight downy little chicks chanticleer strut snowball speckle peep peck downy and blot were their names,there never was a prouder mamma than madame cluck when she led forth her family of eight downy little chicks chicks chicks chanticleer struct snowball speck peep peck downy and blot were their names
8468-294887-0006,as we almost always had some of the travelers toward the north star present whose masters or their agents were frequently in the city in hot pursuit at first we sent them to canada but after a while sent them only to syracuse and the centre of the state,as we almost always had some of the travellers toward the north star present whose masters or their agents were frequently in the city in hot pursuit at first we sent them to canada but after a while sent them only to syracuse and the centre of the state
4018-103416-0037,she was a really pathetic figure crouched in her low chair and shaken with terror she must have rather a bad time there were so many things she dared not take to his father she brought them to him instead her small grievances,she was a really pathetic figure crouched in her low chair and bo chair and shaken with terror she must have have a rather bad time there were so many things she dared not take to his father she brought them to him instead her small grievances
1502-122619-0014,fortified by these assurances the dark figure left the brow of the natural rocky terrace,fortified by these iassurances the dark figure left the brow of the natural rocky terrace
3240-131231-0017,of all instances i have that attribute the fall of small frogs or toads to whirlwinds only one definitely identifies or places the whirlwind also as has been said before a pond going up would be quite as interesting as frogs coming down,of all instances i have that attribute the fall of small frogs or toads to whirlwinds or toads to whirlwinds only one definitely identifies or places the s the s the whirlwind also as has been said before a pond going up would be quite as interesting as frogs coming down
5561-41615-0000,chapter fifteen a would be lark,chapter fifteen a would be lark
445-123857-0000,some glory in their birth some in their skill some in their wealth some in their body's force some in their garments though new fangled ill,some glory in their birth some in their skill some in their wealth some in their bodies their bodies their bodies force some in their garments though newfangled ill
412-126975-0004,among the lights and screens of the cafe riche thus in england if i wished to relieve a dean of his riches which is not so easy as you might suppose i wished to frame him,among the lights and screens of the mites and screens of the cafe riche thus in england if i wished to relieve a din of va din of his riches which is not so easy as you might suppose i wished to frame him
1502-122619-0078,since they had last been shorn the dress of this patriarch for such considering his vast age in conjunction with his affinity and influence with his people he might very properly be termed,since they had last been shorn the dress of this patriarch for such considering his vast age in conjunction with his affinity and iffluence with his people he might very properly be termed
2518-154825-0001,shakespeare the while chalk was a bulwark between us and the foe and though one or two of them loosed off their matchlocks trying to get at us sideways they could not even see their quarry,shakespeare the while chalk was a the the bulwark between us and the foe and though one or two of them loosed off their matchlocks trying to get at us aasideways they could not even see their quarry
7780-274562-0090,such as that of keats or the sensitive plant of shelley but the thing done,such as that of keats or the sensitive plant of shelley shelley shelley but the thing done
3699-175950-0001,now my great grandfather's nose was for all the world like unto the noses of all the men women and children whom pantagruel found dwelling upon the island of ennasin,now my great grandfaer my great grandfar my great grandfather's nose was for all the world like unto the noses of all the men women and children whom pantag children whom pantagruel found dwelling upon the island of ennyson
7113-86041-0106,and hurl a thunderbolt after the flying maiden splintering the rocky barriers which had stood a thousand years but his fury was vain the thunderclouds melted away into a soft mist,and hurl a thunderbolt after the flying maiden splintering the rocky barriers which had stood a thousand years and but his fury was vain the thunder clouds melted away into a soft mist
4830-25904-0040,and then knotted his rough grayish body into a great loop with the fiery eyed head in the middle he was not one of the largest kind but i was quite satisfied and left him to his dinner of rabbits,and then nodded hi hi his his rough grayish body into a great loop with the fiery eyed head in the middle he was not one of the largest kind but i was quite satisfied and left him to his dinner of rabbits
8095-274346-0031,the only charge which could be regarded as important was that he had extorted a sum of ten thousand pounds from the east india company and that he had confiscated some goods belonging to french merchants on pretence of their being the property of spanish,the only charge which could be regarded as an garded as i garded as important was that he had extorted a sum of ten thousand pounds from the east india company and that he had confiscated some goods belonging to french merch merch merchants on pretence of their being the property of spanish
78-369-0060,but your direction was northwards you took me on board when my vigour was exhausted and i should soon have sunk under my multiplied hardships into a death which i still dread for my task is unfulfilled,but your direction was northward you took me on board when my vigour was exhaust au exhausted and i should soon have sunk under my multiplolotlied hardships into a death which i still dread for my task is unfulfilled
5678-43302-0022,if they would not be such heavy fools they don't understand they don't understand yes oliver they don't understand what a glorious thing it all is humanity life truth at last and the death of folly but haven't i told them a hundred times,if they would not not be such heavy fools they don't understand they don't understand yes oliver they soliver they don't understand what a glorious thing it all is humanity life truth at last and the death of folly but haven't i told them a hundred times
7517-100442-0000,at the bookstall i have often longed to be a grocer to be surrounded by so many interesting things sardines bottled raspberries,at the at the bookstall i have often longed to be a ggrocer to be be b be surrounded by so many interesting things sardines bottled raspberries
198-209-0007,catherine in deep mortification proceeded on her way she could almost be angry herself at such angry incivility but she checked the resentful sensation she remembered her own ignorance she knew not how such an offence as hers might be classed by the laws of worldly politeness,catherine in deep mortification proceeded on her a can her way she could almost be angry herself at such angry incivility but she checked the resentful sensation she remembered her own ignorance she knew not how such an offence as hers might be clasped by the laws of worldly politeness
5393-19219-0032,and the grandfather beamed for two he affirmed that m fauchelevent had done well to retire early if he were suffering but that it was only a slight ailment this declaration sufficed moreover,and the grandfather beamed for two he amtwo he affirmed that m fachel enlevent had done well to retire early if he were suffering but that it was only a slight ailment this declaration sufficed moreover
8095-274346-0019,and if the king either cut them short in this undertaking or refused compliance with their demands he must not expect any supply from the commons great dissatisfaction was expressed by charles at a treatment which he deemed so harsh and undutiful,and if the king either cut them short in this undertaking or refused complliance with their demands he must not expect any supply from the commons great dissatisfaction was expressed by charles at a treatment which he deemed so harsh and undutiful
6000-55211-0047,alice greggory turned as if stung wished to sell she repeated the words with superb disdain she was plainly very angry her blue gray eyes gleamed with scorn and her whole face was suffused with a red that had swept to the roots of her soft hair,alice greggory turned as if stung wished to sell she repeated the words with superb disdain she was plainly very angry her blue gray eyes gleamed with scorn and her whole face was suffused with a red that had swept to the roots of her soft hair
1743-142913-0008,that is something i don't often do if you please peter inquired politely why do folks call you wood pewee pewee chuckled happily,that is something i i don't often do if you please peter inquired politely why do folks call why do folks call why do folks call you wood peewee peewee chuckled happily
8238-274553-0068,he handed me the volume and asked me to look over some portion of it i did so but to little purpose not being able to gather the least particle of meaning he then took the book himself and read me a chapter aloud to my surprise,he hnhnhanded me the volume and asked me to look over some portion of it i did so but to little purpose not being able to gather the least particle of meaning he then took the book himself and read me a chapter aloud to my surprise
103-1241-0008,the five thirty train has been in and gone half an hour ago answered that brisk official but there was a passenger dropped off for you a little girl she's sitting out there on the shingles i asked her to go into the ladies waiting room but she informed me gravely that she preferred to stay outside,the five thirty train has been in and gone half an hour hour ago answered that brisk official but there was as a passenger dropped off for you a little girl she's sitting out there on the shingles i asked her to go in go into the ladies waiting room but she informed me gravely that she preferred to stay outside
2518-154826-0039,elzevir was still walking strongly in spite of the heavy burden he carried and in less than half an hour i knew though i had never been there before we were in the land of the old marble quarries at the back of anvil point,elzevir was still walking strongly in spite of the in spite of the in spite of the heavy burden he carried and in less than half an hour i knew though i had never been there before we were in the land of the old marble quarries at the back of vanville point
5390-24512-0042,is the middle of all the words,is the middle of all the words
4018-103416-0021,were now sending flowers to the debutantes and cutting in on the younger men at balls her house was still a rendezvous but it was for couples like the ones who had preempted the drawing room the library and the music room that afternoon,were now sending flowers to the debutants and cutting in and cutting in on the younger men at balls her house was still a rendezvous but it was for couples like the ones who had pre emptied the drawing room the library and the music room that afternoon
2893-139322-0027,by a multitude of coughing men each guiding a little truck the dust filled the place with a choking mist and turned the electric glare yellow the vague shadows of these workers gesticulated about their feet and rushed to and fro against a long stretch of white washed wall,by a multitude of coughing men each guiding a little truck the dust filled the place with a choking mist bis with a choking mist and turned the electric glare yellow the vague shadows of the of the ofthese workers gesticulated about their feet and rushed to and fro against a long stretch of whitewashed wall
4788-294466-0010,and jerry's mother taught a little desert school over near the newcomb ranch she didn't teach long though for that very first vacation she married jerry's cowboy father after that mother and missus newcomb were good friends naturally being brides and neighbors,and jerry's mother taught a little desert school over near the newcomb ranch she didn't teach long though for that very first vacation she married jerry's cowboy father after that mother and missus newcomb were good friends naturally being brides and neighbors
8975-270782-0105,unconscious is no longer a name for what is at that time latent the unconscious is an especial psychic realm with wish impulses of its own with its own method of expression and with a psychic mechanism peculiar to itself,unconscious is no longer a name for what ii at that time latent the unconscious is an especial especial especial psychic realm with wish impulses of its own with its own method of expression tion tion and with a psychic mechanism peculiar to itself
5678-43301-0020,it was in the causes that led to poverty that the disgrace or the merit lay who would not honour a man worn out in the service of his country or overcome at last by circumstances against which his efforts could not prevail,it was in the causes that led to poverty that the disgrace or the merit lay who would not honor a man worn out in the service of his country or overcome at last by circumstances against which his efforts could not prevail
2289-152254-0001,but a plot was formed against him,but a plot was formed against him
2836-5355-0026,as she turned her indignant eyes toward him sir francis laughed all stratagems are fair in love and war she dared not immediately trust herself to reply and a silence ensued sir francis broke it pointing with his left thumb,as she turned her indignant eyes toward him sir francis laughed all stratagems are fair in love and war she dared not immediately trust herself to reply and a silence ensued sir francis broke it pointing with his left thumb
2836-5354-0026,news of the divorce i mean tush was the response of captain levison as if wishing to imply that the divorce was yet a far off affair,news of the divorce i mean tush was the response of captain levison as if wishing to imply that the divorce was yet a far off affair
7113-86041-0100,into the arms of her beloved prince ratibor meanwhile the toiling gnome went through his task over and over again till his back ached and his head swam and he could no longer put two and two together,into the arms of her  her her beloved prince ratibor meanwhile the toiling gnome went through his task over and inter and over again an en ten till his back ached and his head swam and he could no longer put two and two together
625-132118-0024,the same tall trees peeped in at the windows the same green grass glinted in the setting sun only in the chamber of death writhed the world's most piteous thing a childless mother,the same tall trees peeped in at the windows the same green grass windows the same green grass windows the same green grass glinted in the setting setting sun only in the chamber of death writhed the world's most piteous thing a childless mother
2518-154826-0040,although i knew little of these quarries and certainly was in evil plight to take note of anything at that time yet afterwards i learnt much about them out of such excavations comes that black purbeck marble which you see in old churches in our country,although i knew little of these quarries and certainly was in evil plight to take note of anything at that time yet afterwards i learnt much about them out of such excexcexcavations comes that black purbec marble which you see in old churchis in our country
2893-139310-0043,were bearded men old men youths fluttering robed bare armed women girls men and women of the new age rich robes grey rags fluttered together in the whirl of their movement amidst the dominant blue,were bearded men old wern old men youths fluttering robed bare armed women girls men and women of the new age rich robes gray rags fluttered together in the whirl of their movement amidst the dominant blue
2952-410-0031,to go near him while he is reciting would be difficult and we cannot touch him so long as he is praying but as it is now nearly morning perhaps he has gone to sleep some one of you go to the house and see what the fellow is doing,to go near him while he is reciting would be difficult and we be difficult and we cannot touch him so long as he is praying but as it is now nearly morning perhaps he has gone to sleep some one of you go to the house and see what the fellow is doing
